fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Agricultural Systems & Engineering,Lower middle income,U44,6,2.39,4.0,4.0,0.0,0.0,3.55,3.82,0.0,0.0
Computer Science,Lower middle income,U30,5.7,3.0,3.38,3.63,3.5,0.0,3.54,3.54,3.54,0.0
Information Management,Lower middle income,u37,,3.0,3.38,3.25,3.5,0.0,3.16,3.55,3.64,0.0
Computer Science,Lower middle income,U30,,3.5,3.75,4.0,3.5,0.0,3.42,3.72,3.95,0.0
Information Management,Upper middle income,U30,4,3.67,3.25,3.38,3.5,0.0,3.38,3.51,3.66,0.0
Mechatronics,Lower middle income,U30,5.3,3.79,3.88,4.0,4.0,0.0,3.52,3.79,3.92,0.0
International Public Management,Lower middle income,u37,,3.5,2.2,2.75,3.2,3.25,3.49,3.13,3.3,3.2
Gender and Development Studies,Lower middle income,u37,,2.48,3.43,3.32,0.0,0.0,3.44,3.54,0.0,0.0
Energy,Upper middle income,u37,0,2.69,2.68,2.89,3.42,0.0,3.16,3.13,3.31,0.0
Information Management,Upper middle income,U30,5.5,3.21,4.0,4.0,3.88,4.0,3.56,3.9,3.87,4.01
Remote Sensing and Geographic Information Systems,Upper middle income,U30,4.6,2.96,3.5,3.88,0.0,0.0,3.61,3.6,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U25,5.4,3.88,3.38,3.38,0.0,0.0,3.59,3.54,0.0,0.0
Mechatronics,Lower middle income,U44,6,3.4,4.0,3.75,4.0,0.0,3.16,3.82,3.86,0.0
International Business - Management of Technology (BKK),Upper middle income,u37,,2.29,3.38,3.5,3.5,3.17,3.48,3.54,3.54,3.45
Environmental Engineering and Management,Upper middle income,U30,4.5,3.18,3.13,3.38,4.0,0.0,3.22,3.18,3.54,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,5,3.74,3.75,4.0,0.0,0.0,3.51,3.64,0.0,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,5.2,2.61,3.88,4.0,0.0,0.0,3.71,3.8,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U25,5.4,3.5,3.58,3.63,4.0,0.0,3.59,3.62,3.66,0.0
Industrial Engineering & Management,Upper middle income,U30,5.2,3.3,3.17,3.38,3.75,0.0,3.27,3.47,3.55,0.0
International Business,Upper middle income,U30,5.8,3.2,3.38,2.7,4.0,3.0,3.47,3.49,3.35,3.5
Aquaculture and Aquatic Resources Management,High income,G45,,3.17,3.73,3.64,3.5,0.0,3.59,3.64,3.68,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,5.5,3.81,3.63,4.0,0.0,0.0,3.61,3.66,0.0,0.0
Environmental Engineering and Management,Upper middle income,U25,5,3.2,3.13,3.5,3.5,0.0,3.48,3.23,3.58,0.0
Environmental Engineering and Management,Upper middle income,U25,5,3.35,3.38,3.45,4.0,4.0,3.49,3.49,3.66,3.76
Natural Resources Management,Low income,U44,5.5,3.5,4.0,4.0,0.0,0.0,3.56,3.92,0.0,0.0
Computer Science,Lower middle income,U30,,3.36,3.38,3.63,3.5,0.0,3.23,3.54,3.71,0.0
Gender and Development Studies,Lower middle income,u37,4.5,3.5,2.38,2.5,3.5,3.44,3.2,2.89,3.3,3.2
Natural Resources Management,Lower middle income,u37,,3.0,2.73,2.92,0.0,0.0,3.17,3.08,0.0,0.0
Natural Resources Management,Lower middle income,U30,5,3.19,3.54,3.36,0.0,0.0,3.48,3.55,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.6,3.67,3.75,3.58,3.58,3.65,3.71,3.6
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.7,3.67,3.5,3.67,3.62,3.66,3.62,3.63
International Business - Management of Technology (VN),Lower middle income,U44,,1.0,3.33,3.57,3.64,3.75,3.51,3.55,3.43,3.49
International Business,Upper middle income,u37,6,2.82,3.7,3.8,0.0,0.0,3.63,3.61,0.0,0.0
International Business,Upper middle income,U30,5.4,3.53,3.7,3.6,0.0,0.0,3.52,3.66,0.0,0.0
International Business,Lower middle income,u37,,4.0,3.3,3.8,0.0,0.0,3.63,3.51,0.0,0.0
International Business,Lower middle income,U30,5.4,3.5,3.3,3.46,0.0,0.0,3.38,3.51,0.0,0.0
Management of Technology,Upper middle income,U30,4.2,3.2,3.2,3.0,3.5,0.0,3.17,3.22,3.53,0.0
International Business,Lower middle income,U25,,2.78,3.8,3.5,0.0,0.0,3.57,3.68,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,G45,,3.0,3.63,3.88,3.33,3.5,3.53,3.57,3.69,3.62
International Business - Management of Technology (BKK),Lower middle income,u37,,3.0,3.75,3.5,3.5,3.33,3.56,3.63,3.69,3.69
International Business - Management of Technology (BKK),Upper middle income,G45,,2.67,3.13,3.63,3.17,2.83,3.45,3.3,3.48,3.2
International Business - Management of Technology (BKK),Upper middle income,G45,,2.55,3.75,3.63,3.5,3.33,3.16,3.63,3.6,3.49
Pulp and Paper Technology,Lower middle income,U30,5.4,3.19,3.5,3.46,4.0,0.0,3.51,3.6,3.68,0.0
International Business,Lower middle income,U30,6.2,3.0,3.7,3.75,0.0,0.0,3.5,3.62,0.0,0.0
Management of Technology,Upper middle income,u37,5,3.22,3.6,3.6,0.0,0.0,3.54,3.55,0.0,0.0
International Business,Lower middle income,U30,7,2.0,3.6,3.8,0.0,0.0,3.61,3.59,0.0,0.0
Information & Communications Technologies,Lower middle income,U30,5.6,3.0,2.88,3.13,3.5,3.0,3.16,3.14,3.4,3.47
International Business,Upper middle income,U25,5.6,3.45,2.9,3.2,3.13,0.0,3.18,3.13,3.41,0.0
Computer Science,Lower middle income,u37,5.6,2.5,2.88,3.25,3.5,0.0,3.16,3.18,3.4,0.0
Environmental Engineering and Management,Lower middle income,U30,6,2.74,3.63,3.7,0.0,0.0,3.55,3.63,0.0,0.0
Urban Environmental Management,Lower middle income,U30,5,3.0,3.29,3.57,0.0,0.0,3.51,3.32,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,U44,,3.18,3.75,3.75,3.67,3.5,3.17,3.68,3.66,3.53
Urban Environmental Management,Upper middle income,u37,4.6,2.98,3.32,3.23,3.5,0.0,3.44,3.51,3.46,0.0
Information Management,Lower middle income,u37,,3.0,3.0,3.13,3.5,0.0,3.16,3.18,3.45,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U25,5,2.95,3.38,3.75,0.0,0.0,3.36,3.51,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5,3.21,4.0,4.0,0.0,0.0,3.23,3.8,0.0,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.5,3.63,3.63,4.0,0.0,3.54,3.64,3.73,0.0
Mechatronics,Lower middle income,U30,,3.5,3.32,3.36,4.0,0.0,3.53,3.37,3.48,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,3.5,3.79,3.63,3.75,3.53,3.55,3.62,3.64
Natural Resources Management,Lower middle income,u37,5.5,4.0,3.46,3.58,0.0,0.0,3.18,3.57,0.0,0.0
Environmental Engineering and Management,Upper middle income,u37,5,3.43,3.13,3.63,4.0,0.0,3.21,3.3,3.58,0.0
Mechatronics,Lower middle income,U30,,3.0,3.73,3.68,3.25,0.0,3.5,3.69,3.68,0.0
Industrial Engineering & Management,Upper middle income,U30,4.9,2.88,4.0,4.0,4.0,0.0,3.68,3.76,3.86,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.5,3.5,3.63,0.0,3.61,3.55,3.44,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.0,3.38,3.38,3.5,0.0,3.55,3.47,3.52,0.0
Agricultural Systems & Engineering,Lower middle income,U30,6,4.0,4.0,4.0,4.0,0.0,3.59,3.84,3.94,0.0
Energy,Lower middle income,U30,5.6,4.0,3.27,3.54,3.71,0.0,3.51,3.51,3.57,0.0
Information & Communications Technologies,Lower middle income,u37,6.8,3.05,3.38,3.13,4.0,3.5,3.45,3.5,3.63,3.36
Environmental Engineering and Management,Lower middle income,U30,6.2,4.0,3.62,3.5,4.0,0.0,3.51,3.61,3.72,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.67,3.21,3.79,3.63,3.54,3.64,3.48,3.52
International Business - Management of Technology (VN),Lower middle income,u37,,3.5,3.67,3.71,3.57,4.0,3.47,3.64,3.49,3.59
Industrial Engineering & Management,Lower middle income,u37,,3.0,3.75,4.0,3.5,0.0,3.44,3.69,3.82,0.0
Environmental Engineering and Management,Upper middle income,U30,4.8,3.32,3.13,3.13,3.5,0.0,3.32,3.22,3.46,0.0
Gender and Development Studies,Lower middle income,U30,7,3.5,4.0,3.94,0.0,0.0,3.67,3.85,0.0,0.0
International Business,Lower middle income,U30,6.5,2.2,3.9,3.9,3.75,0.0,3.47,3.66,3.75,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,3.5,3.78,3.6,3.5,3.56,3.53,3.62,3.65
International Business - Management of Technology (VN),Lower middle income,U30,,3.0,3.17,3.2,3.57,3.42,3.53,3.21,3.34,3.43
Energy,Lower middle income,u37,,3.0,3.67,3.77,3.5,0.0,3.42,3.65,3.79,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,3.5,2.64,3.5,3.83,3.53,3.58,3.35,3.2
International Business,Upper middle income,U30,5,3.5,3.0,3.1,4.0,0.0,3.16,3.26,3.43,0.0
International Business,Low income,U30,7.5,3.56,3.6,3.6,0.0,0.0,3.54,3.66,0.0,0.0
Management of Technology,Upper middle income,U30,4.2,3.66,3.6,3.6,3.5,0.0,3.58,3.63,3.68,0.0
Mechatronics,Lower middle income,U30,,3.5,3.86,3.91,4.0,0.0,3.58,3.72,3.82,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,,2.5,3.75,4.0,3.5,0.0,3.16,3.73,3.85,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,,3.5,3.38,3.67,3.5,0.0,3.16,3.55,3.69,0.0
Environmental Engineering and Management,Lower middle income,u37,5.2,2.5,3.38,3.5,3.0,0.0,3.47,3.54,3.61,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,4.8,2.93,2.75,3.25,0.0,0.0,3.17,3.13,0.0,0.0
Mechatronics,Lower middle income,U30,,3.5,4.0,4.0,4.0,4.0,3.58,3.8,3.91,3.86
Energy,Lower middle income,u37,4.2,2.0,2.59,2.69,3.3,3.5,3.18,2.94,3.3,3.2
Energy,Lower middle income,U30,5,3.0,3.31,3.35,3.0,0.0,3.5,3.49,3.45,0.0
Energy,Lower middle income,U30,4.5,3.0,3.08,2.92,3.17,0.0,3.4,3.18,3.32,0.0
Gender and Development Studies,Upper middle income,G45,5.2,3.5,3.41,3.5,0.0,0.0,3.16,3.55,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,3.9,3.0,3.88,3.63,4.0,0.0,3.5,3.73,3.71,0.0
Environmental Engineering and Management,Upper middle income,U44,4.2,2.0,2.83,3.0,3.0,0.0,3.16,3.03,3.37,0.0
Natural Resources Management,Lower middle income,u37,5.3,2.5,3.27,3.73,0.0,0.0,3.5,3.5,0.0,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U25,4.5,3.11,4.0,4.0,0.0,0.0,3.33,3.83,0.0,0.0
Water Engineering and Management,Upper middle income,u37,5.5,3.06,3.77,3.88,4.0,0.0,3.32,3.73,3.71,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,5,3.44,3.75,4.0,0.0,0.0,3.46,3.65,0.0,0.0
Agricultural Systems & Engineering,Lower middle income,U30,5.4,4.0,3.1,3.13,0.0,0.0,3.52,3.3,0.0,0.0
Structural Engineering,Lower middle income,U30,6.3,4.0,3.75,4.0,0.0,0.0,3.19,3.7,0.0,0.0
International Business,Upper middle income,u37,6.5,2.07,3.6,3.2,0.0,0.0,3.44,3.56,0.0,0.0
International Business,Lower middle income,u37,7,3.5,3.1,2.5,3.67,2.75,3.3,3.23,3.37,3.2
Pulp and Paper Technology,Lower middle income,u37,5.5,3.0,3.0,3.5,4.0,0.0,3.42,3.21,3.52,0.0
Microelectronics,Lower middle income,U30,,4.0,3.0,3.33,3.5,3.5,3.3,3.14,3.44,3.51
Water Engineering and Management,Lower middle income,u37,,2.5,2.73,3.13,3.5,0.0,3.18,3.13,3.44,0.0
Industrial Engineering & Management,Upper middle income,u37,5.2,3.36,3.88,3.88,4.0,0.0,3.51,3.77,3.91,0.0
Information Management,Upper middle income,U30,5.5,3.14,3.38,3.38,3.5,0.0,3.56,3.56,3.65,0.0
Telecommunications,Lower middle income,U30,6,3.05,4.0,3.88,4.0,0.0,3.55,3.86,3.87,0.0
Telecommunications,Upper middle income,U44,4.9,2.89,2.75,3.25,4.0,3.83,3.16,3.14,3.4,3.48
Environmental Engineering and Management,Upper middle income,u37,5.5,2.79,2.83,3.2,4.0,0.0,3.17,3.15,3.36,0.0
Urban Environmental Management,Lower middle income,U30,6,3.31,3.82,3.75,0.0,0.0,3.52,3.72,0.0,0.0
Microelectronics,Low income,U30,,3.5,3.75,3.75,4.0,0.0,3.75,3.76,3.81,0.0
Information Management,Upper middle income,u37,4.5,2.6,3.0,3.13,3.0,0.0,3.17,3.26,3.51,0.0
Pulp and Paper Technology,Lower middle income,U30,6.4,3.17,3.08,3.21,0.0,0.0,3.2,3.13,0.0,0.0
International Business,Lower middle income,U30,6.5,4.0,3.1,2.5,3.67,3.5,3.24,3.14,3.31,3.49
Information Management,Lower middle income,U30,,3.0,3.38,3.38,3.5,0.0,3.51,3.55,3.67,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,5.4,2.71,3.0,3.5,0.0,0.0,3.54,3.21,0.0,0.0
Energy,Upper middle income,u37,5.8,3.3,3.08,3.03,3.44,0.0,3.45,3.14,3.3,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.6,2.79,3.75,3.63,0.0,0.0,3.5,3.72,0.0,0.0
Water Engineering and Management,Lower middle income,U30,4.8,3.5,2.73,3.13,3.5,0.0,3.39,3.13,3.45,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,,2.0,3.13,3.33,3.5,0.0,3.16,3.45,3.55,0.0
Information & Communications Technologies,Lower middle income,U30,5.5,3.17,3.5,3.5,4.0,4.0,3.26,3.56,3.77,3.79
International Business,Upper middle income,U30,5.2,3.33,3.7,3.4,0.0,0.0,3.62,3.66,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.6,3.05,3.88,3.88,0.0,0.0,3.51,3.8,0.0,0.0
Transportation Engineering,Lower middle income,U25,,3.5,3.13,3.63,0.0,0.0,3.17,3.33,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,6,2.0,2.75,2.88,3.0,0.0,3.52,3.06,3.3,0.0
Energy,Lower middle income,U30,5.8,2.49,3.54,3.5,3.67,0.0,3.52,3.58,3.5,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U30,5,3.0,2.75,2.88,0.0,0.0,3.28,3.13,0.0,0.0
Energy,Lower middle income,U30,5.8,2.49,3.38,3.17,3.29,0.0,3.5,3.51,3.32,0.0
Energy,Upper middle income,U30,4.6,3.33,3.29,3.46,3.42,0.0,3.2,3.44,3.47,0.0
Transportation Engineering,Upper middle income,U44,4,4.0,2.88,2.88,0.0,0.0,3.15,3.16,0.0,0.0
International Business,Lower middle income,U30,5.2,3.0,3.2,3.0,0.0,0.0,3.21,3.31,0.0,0.0
Urban Environmental Management,Lower middle income,U30,6.5,3.5,3.89,3.96,0.0,0.0,3.84,3.78,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,U44,,2.32,3.25,3.5,3.0,3.0,3.23,3.51,3.45,3.2
Design and Manufacturing Engineering,Lower middle income,U30,,3.5,3.38,3.0,3.0,0.0,3.36,3.52,3.48,0.0
Natural Resources Management,Lower middle income,u37,5.4,3.32,2.92,3.23,0.0,0.0,3.41,3.18,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,4.2,2.5,3.0,2.88,0.0,0.0,3.17,3.16,0.0,0.0
Management of Technology,Lower middle income,U30,5.9,4.0,3.3,3.5,3.63,4.0,3.39,3.53,3.53,3.47
International Public Management,Lower middle income,U25,5.4,3.0,2.8,3.0,3.75,0.0,3.41,3.13,3.31,0.0
Computer Science,Upper middle income,U30,5.4,3.5,3.5,3.33,4.0,3.5,3.49,3.61,3.71,3.73
Energy,Lower middle income,U30,5.4,3.5,4.0,4.0,4.0,0.0,3.58,3.89,3.88,0.0
International Business - Management of Technology (VN),Lower middle income,U44,,3.5,3.6,3.58,3.25,3.17,3.53,3.65,3.67,3.49
Pulp and Paper Technology,Lower middle income,U30,5,3.12,3.33,3.38,3.0,0.0,3.2,3.4,3.52,0.0
International Business,High income,u37,6,3.18,3.7,3.3,3.63,0.0,3.76,3.59,3.49,0.0
Computer Science,Lower middle income,u37,5.5,4.0,3.5,3.67,4.0,4.0,3.16,3.62,3.76,3.74
Agricultural Systems & Engineering,Lower middle income,U44,2.5,3.2,2.9,2.75,0.0,0.0,3.41,2.94,0.0,0.0
Energy,Lower middle income,U30,5,2.81,3.38,3.29,3.67,0.0,3.45,3.51,3.41,0.0
Industrial Engineering & Management,Lower middle income,U30,5,3.0,2.88,2.75,3.0,0.0,3.16,3.13,3.34,0.0
Agricultural Systems & Engineering,Lower middle income,U30,5.6,3.2,3.4,3.25,0.0,0.0,3.57,3.55,0.0,0.0
Information Management,Lower middle income,U30,,3.07,3.75,3.88,3.5,0.0,3.51,3.72,3.9,0.0
Environmental Engineering and Management,Lower middle income,u37,5.4,3.0,3.0,3.25,3.0,0.0,3.34,3.2,3.44,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,,3.5,3.33,3.67,3.0,0.0,3.21,3.53,3.68,0.0
Environmental Engineering and Management,Lower middle income,u37,5.6,2.59,2.88,3.13,2.5,0.0,3.19,3.13,3.39,0.0
Urban Environmental Management,Lower middle income,U30,5,3.41,3.54,3.64,0.0,0.0,3.52,3.54,0.0,0.0
Environmental Engineering and Management,Low income,U30,6.2,3.48,2.75,3.63,4.0,0.0,3.8,3.13,3.51,0.0
Food Engineering and Bioprocess Technology,Upper middle income,u37,5,2.82,3.0,3.13,0.0,0.0,3.21,3.16,0.0,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,u37,5.2,2.5,2.54,3.29,0.0,0.0,3.31,3.13,0.0,0.0
Information & Communications Technologies,Low income,U30,,4.0,3.63,3.75,4.0,0.0,3.64,3.66,3.89,0.0
Mechatronics,Lower middle income,U30,5.2,3.17,3.59,3.73,4.0,4.0,3.22,3.62,3.68,3.82
Agricultural Systems & Engineering,Low income,u37,7,3.5,4.0,4.0,0.0,0.0,3.58,3.9,0.0,0.0
Natural Resources Management,Lower middle income,U25,5.6,2.91,4.0,4.0,0.0,0.0,3.54,3.8,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U30,,2.5,3.5,3.2,3.29,3.33,3.53,3.54,3.4,3.2
International Public Management,Lower middle income,U30,6,3.0,2.7,3.25,3.4,0.0,3.19,3.13,3.3,0.0
International Business - Management of Technology (VN),Lower middle income,U30,,3.0,3.67,3.43,3.57,3.38,3.49,3.62,3.46,3.54
International Business - Management of Technology (VN),Lower middle income,u37,,4.0,3.67,3.3,3.29,3.5,3.5,3.65,3.51,3.48
International Business - Management of Technology (VN),Lower middle income,U30,,2.5,3.5,3.75,3.25,3.67,3.47,3.54,3.54,3.54
Gender and Development Studies,Low income,U30,6.8,3.0,3.07,3.28,4.0,0.0,3.59,3.37,3.52,0.0
Agricultural Systems & Engineering,Lower middle income,U30,4.6,3.5,3.38,3.4,0.0,0.0,3.48,3.51,0.0,0.0
Microelectronics,Upper middle income,U30,5,3.03,3.75,3.5,4.0,0.0,3.54,3.64,3.66,0.0
Agricultural Systems & Engineering,Lower middle income,u37,5.4,3.5,3.09,3.5,0.0,0.0,3.33,3.23,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,3.0,3.83,3.71,3.86,4.0,3.55,3.71,3.63,3.66
International Business,Upper middle income,U30,5,3.47,3.3,3.6,0.0,0.0,3.47,3.49,0.0,0.0
Information & Communications Technologies,Low income,U30,5.8,3.5,3.5,3.88,4.0,3.5,3.55,3.58,3.82,3.75
Telecommunications,Upper middle income,U30,6.8,3.54,3.63,3.63,4.0,3.5,3.53,3.69,3.73,3.73
Water Engineering and Management,Low income,U44,5.9,3.94,3.23,3.63,4.0,0.0,3.17,3.51,3.63,0.0
Mechatronics,Lower middle income,U30,6.2,3.5,3.0,3.33,2.75,0.0,3.25,3.13,3.38,0.0
Transportation Engineering,Upper middle income,U44,4.4,3.05,3.25,3.13,0.0,0.0,3.17,3.52,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,,3.4,3.17,3.75,4.0,4.0,3.24,3.28,3.58,3.6
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,4,2.8,2.88,3.13,3.5,0.0,3.16,3.13,3.36,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,3.9,2.95,3.0,3.5,0.0,0.0,3.38,3.18,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U25,5,2.42,3.38,3.0,0.0,0.0,3.45,3.49,0.0,0.0
International Business,Lower middle income,U44,,2.0,3.1,2.9,3.5,0.0,3.19,3.19,3.34,0.0
Information Management,Lower middle income,u37,5.2,3.5,3.13,3.25,3.5,0.0,3.16,3.42,3.46,0.0
Telecommunications,Lower middle income,u37,,2.5,3.0,3.25,3.13,0.0,3.16,3.14,3.38,0.0
Environmental Engineering and Management,Lower middle income,U44,4.4,2.5,2.88,2.75,2.5,0.0,3.16,3.08,3.31,0.0
Information Management,Lower middle income,U30,5.7,3.0,3.13,3.38,3.5,0.0,3.52,3.29,3.46,0.0
International Business,Low income,U30,6.5,2.96,2.9,2.5,3.63,0.0,3.49,3.13,3.3,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,U30,5,3.33,3.08,3.42,0.0,0.0,3.45,3.31,0.0,0.0
Management of Technology,Upper middle income,U30,4.5,2.89,3.5,3.5,0.0,0.0,3.35,3.58,0.0,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U44,6,3.5,3.5,3.25,0.0,0.0,3.47,3.58,0.0,0.0
International Business - Management of Technology (BKK),Lower middle income,U44,,4.0,3.88,3.88,4.0,4.0,3.49,3.74,3.87,3.79
International Public Management,Lower middle income,U25,6,3.5,3.6,3.3,0.0,0.0,3.54,3.54,0.0,0.0
Computer Science,Lower middle income,u37,6,3.5,2.88,3.25,3.5,0.0,3.25,3.22,3.49,0.0
Telecommunications,Lower middle income,U30,,3.0,3.38,3.38,3.5,0.0,3.53,3.54,3.51,0.0
International Business - Management of Technology (BKK),Upper middle income,u37,,2.97,3.88,3.75,3.83,3.5,3.49,3.74,3.76,3.68
Environmental Engineering and Management,Upper middle income,U30,4.7,2.63,3.13,3.14,3.5,0.0,3.23,3.21,3.44,0.0
Environmental Engineering and Management,Lower middle income,U30,5.5,3.0,3.88,3.63,4.0,0.0,3.49,3.75,3.78,0.0
Industrial Engineering & Management,Upper middle income,U30,5.5,3.06,3.17,3.63,3.75,0.0,3.37,3.45,3.53,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,5,3.39,2.63,3.0,0.0,0.0,3.22,3.13,0.0,0.0
International Business,Low income,U44,6.3,2.47,2.9,3.3,3.6,0.0,3.26,3.28,3.38,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,U30,4.5,3.15,3.33,3.54,0.0,0.0,3.36,3.52,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,u37,,2.5,3.3,3.7,3.38,3.36,3.57,3.52,3.48,3.52
International Business,Upper middle income,U30,4.6,3.29,3.7,3.8,4.0,0.0,3.52,3.63,3.82,0.0
Management of Technology,Lower middle income,u37,4.3,3.0,2.7,2.63,3.1,0.0,3.42,3.13,3.31,0.0
Management of Technology,Upper middle income,U30,5,3.17,3.5,3.5,0.0,0.0,3.5,3.55,0.0,0.0
Water Engineering and Management,Lower middle income,u37,4.8,3.0,2.96,3.13,3.5,0.0,3.21,3.14,3.4,0.0
International Business,Lower middle income,U30,6,3.0,3.9,3.8,0.0,0.0,3.53,3.7,0.0,0.0
Telecommunications,Lower middle income,u37,,2.5,3.0,2.88,3.0,0.0,3.16,3.15,3.33,0.0
Computer Science,Lower middle income,u37,,3.0,3.0,3.25,3.0,0.0,3.16,3.26,3.52,0.0
Energy,Lower middle income,U30,5.5,3.07,3.46,3.85,3.7,0.0,3.53,3.58,3.62,0.0
Environmental Engineering and Management,Lower middle income,U30,5.5,3.0,3.0,3.0,2.5,0.0,3.48,3.18,3.43,0.0
Telecommunications,Low income,U30,6,4.0,3.5,3.25,4.0,3.5,3.59,3.65,3.63,3.61
Urban Environmental Management,Lower middle income,U25,6,3.5,3.89,4.0,0.0,0.0,3.68,3.76,0.0,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,4.8,3.09,2.88,3.0,0.0,0.0,3.4,3.13,0.0,0.0
International Business - Management of Technology (BKK),Upper middle income,u37,,2.571,3.38,3.75,3.5,3.0,3.52,3.55,3.61,3.5
International Public Management,Lower middle income,U30,7.5,3.02,3.8,3.6,3.5,0.0,3.53,3.66,3.73,0.0
International Business,Lower middle income,U25,6.7,3.42,3.4,3.6,4.0,0.0,3.61,3.51,3.71,0.0
Management of Technology,Lower middle income,U30,8,4.0,3.7,3.9,0.0,0.0,3.6,3.69,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U30,,4.0,3.83,3.56,3.44,4.0,3.56,3.69,3.62,3.59
Natural Resources Management,Low income,U44,5,3.5,3.73,3.73,0.0,0.0,3.55,3.69,0.0,0.0
Mechatronics,Lower middle income,U30,,3.0,3.36,3.0,3.5,3.5,3.5,3.41,3.44,3.5
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,6,2.56,3.38,3.63,4.0,0.0,3.49,3.51,3.51,0.0
Computer Science,Low income,U30,7,4.0,3.75,4.0,4.0,0.0,3.48,3.8,3.96,0.0
Urban Environmental Management,Upper middle income,u37,4.2,3.61,3.5,3.5,0.0,0.0,3.22,3.57,0.0,0.0
Natural Resources Management,Upper middle income,u37,5.6,2.94,3.38,3.32,0.0,0.0,3.4,3.55,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U44,4,3.17,2.77,3.0,0.0,0.0,3.16,3.12,0.0,0.0
Structural Engineering,Lower middle income,U25,5.5,3.77,3.75,4.0,0.0,0.0,3.59,3.71,0.0,0.0
Natural Resources Management,Lower middle income,u37,6,3.5,3.23,3.73,0.0,0.0,3.18,3.24,0.0,0.0
ConstructionEngineering and Infrastructure Management,Low income,U30,5.8,3.5,3.38,3.75,0.0,0.0,3.65,3.56,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,5,2.5,3.38,3.13,3.5,0.0,3.21,3.38,3.5,0.0
International Business,Upper middle income,U30,6,3.6,3.8,3.75,3.67,3.5,3.51,3.66,3.74,3.7
International Business,Upper middle income,U25,6,3.78,3.7,3.7,0.0,0.0,3.62,3.62,0.0,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U44,5.9,4.0,3.5,3.25,0.0,0.0,3.51,3.59,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,4.8,2.85,2.81,3.08,3.0,2.5,3.36,3.15,3.33,3.56
Computer Science,Lower middle income,U30,5.6,3.0,3.25,3.5,3.5,0.0,3.43,3.51,3.67,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U30,,4.0,3.25,3.5,4.0,0.0,3.17,3.37,3.7,0.0
